name,old_score,new_score,reason
D.J. Moore,87,93,Health 70→92; role/offense/competition retained
Jameson Williams,72,77,Health 74→92; role/offense/competition retained
Carnell Tate,73,67,Health 92→68; role/offense/competition retained
Jacory Croskey-Merritt,79,73,Health 92→68; role/offense/competition retained
Jakobi Meyers,69,63,Health 92→68; role/offense/competition retained
Khalil Shakir,85,79,Health 92→68; role/offense/competition retained
Jordan James,59,53,Health 92→68; role/offense/competition retained
Ty Johnson,62,56,Health 92→68; role/offense/competition retained
Emanuel Wilson,54,48,Health 92→68; role/offense/competition retained
Tre' Harris,74,68,Health 92→68; role/offense/competition retained
Chris Brazzell II,48,31,Health 92→25; role/offense/competition retained
Chris Bell,42,36,Health 92→68; role/offense/competition retained
Brenen Thompson,59,53,Health 92→68; role/offense/competition retained
Skyler Bell,63,57,Health 92→68; role/offense/competition retained
Kendrick Law,54,37,Health 92→25; role/offense/competition retained
Kevin Coleman Jr.,42,36,Health 92→68; role/offense/competition retained
Jaren Kanak,45,28,Health 92→25; role/offense/competition retained
Carsen Ryan,41,35,Health 92→68; role/offense/competition retained
